year,GlobalAT,CityAT
1843,8.17,24.74
1844,7.65,15.45
1845,7.85,20.82
1846,8.55,
1847,8.09,
1848,7.98,24.56
1849,7.98,24.8
1850,7.9,24.34
1851,8.18,25.03
1852,8.1,24.85
1853,8.04,24.93
1854,8.21,24.72
1855,8.11,24.92
1856,8,24.57
1857,7.76,24.26
1858,8.1,25.01
1859,8.25,24.95
1860,7.96,24.94
1861,7.85,24.13
1862,7.56,23.77
1863,8.11,24.28
1864,7.98,25.03
1865,8.18,25.23
1866,8.29,24.92
1867,8.44,25.22
1868,8.25,25
1869,8.43,25.3
1870,8.2,25.02
1871,8.12,24.73
1872,8.19,24.87
1873,8.35,25.24
1874,8.43,24.98
1875,7.86,24.43
1876,8.08,24.89
1877,8.54,25.47
1878,8.83,25.51
1879,8.17,25.24
1880,8.12,24.8
1881,8.27,25.63
1882,8.13,24.66
1883,7.98,25.19
1884,7.77,24.8
1885,7.92,24.98
1886,7.95,24.98
1887,7.91,24.81
1888,8.09,25.13
1889,8.32,25.52
1890,7.97,25.07
1891,8.02,25.39
1892,8.07,25.22
1893,8.06,25.19
1894,8.16,24.66
1895,8.15,24.69
1896,8.21,24.88
1897,8.29,24.86
1898,8.18,24.88
1899,8.4,25.12
1900,8.5,25.29
1901,8.54,25.55
1902,8.3,25.25
1903,8.22,24.64
1904,8.09,25.07
1905,8.23,24.87
1906,8.38,24.85
1907,7.95,24.44
1908,8.19,24.95
1909,8.18,25.57
1910,8.22,24.75
1911,8.18,24.24
1912,8.17,24.96
1913,8.3,24.63
1914,8.59,24.94
1915,8.59,25.38
1916,8.23,24.85
1917,8.02,25.03
1918,8.13,24.66
1919,8.38,25.39
1920,8.36,24.94
1921,8.57,24.84
1922,8.41,25.35
1923,8.42,25.1
1924,8.51,25.69
1925,8.53,25
1926,8.73,25.19
1927,8.52,25.29
1928,8.63,25.39
1929,8.24,25.36
1930,8.63,25.39
1931,8.72,25.38
1932,8.71,24.96
1933,8.34,24.67
1934,8.63,24.97
1935,8.52,25.61
1936,8.55,25.15
1937,8.7,25.08
1938,8.86,25.11
1939,8.76,25.16
1940,8.76,25.51
1941,8.77,25.37
1942,8.73,25.49
1943,8.76,24.96
1944,8.85,25.6
1945,8.58,25.3
1946,8.68,25.49
1947,8.8,26
1948,8.75,24.85
1949,8.59,24.82
1950,8.37,24.98
1951,8.63,26.1
1952,8.64,25.72
1953,8.87,25.51
1954,8.56,25.8
1955,8.63,25.33
1956,8.28,25.02
1957,8.73,24.69
1958,8.77,25.64
1959,8.73,24.14
1960,8.58,25.67
1961,8.8,25.12
1962,8.75,26.1
1963,8.86,25.54
1964,8.41,25.14
1965,8.53,25.59
1966,8.6,26.16
1967,8.7,24.87
1968,8.52,25.21
1969,8.6,26.05
1970,8.7,25.84
1971,8.6,24.93
1972,8.5,24.74
1973,8.95,25.6
1974,8.47,25.4
1975,8.74,25.04
1976,8.35,24.97
1977,8.85,25.99
1978,8.69,25.95
1979,8.73,26.2
1980,8.98,25.83
1981,9.17,25.95
1982,8.64,24.62
1983,9.03,24.85
1984,8.69,25.05
1985,8.66,25.3
1986,8.83,25.36
1987,8.99,26.37
1988,9.2,25.99
1989,8.92,25.05
1990,9.23,25.7
1991,9.18,25.43
1992,8.84,24.37
1993,8.87,25.42
1994,9.04,26.08
1995,9.35,25.64
1996,9.04,26.28
1997,9.2,25.49
1998,9.52,26.73
1999,9.29,26.92
2000,9.2,26.55
2001,9.41,26.67
2002,9.57,26.44
2003,9.53,26.62
2004,9.32,26.2
2005,9.7,26.27
2006,9.53,26.24
2007,9.73,26.49
2008,9.43,26.21
2009,9.51,26.71
2010,9.7,27.37
2011,9.52,26.4
2012,9.51,26.83
2013,9.61,27.78
